DateHeure;Valeur
2021-08-10 00:00;5.78
2021-08-10 00:15;5.16
2021-08-10 00:30;4.59
2021-08-10 00:45;4.52
2021-08-10 01:00;5.18
2021-08-10 01:15;5.21
2021-08-10 01:30;5.51
2021-08-10 01:45;4.54
2021-08-10 02:00;4.72
2021-08-10 02:15;5.77
2021-08-10 02:30;5.14
2021-08-10 02:45;4.53
2021-08-10 03:00;4.83
2021-08-10 03:15;5.15
2021-08-10 03:30;5.54
2021-08-10 03:45;4.51
2021-08-10 04:00;4.11
2021-08-10 04:15;5.51
2021-08-10 04:30;5.89
2021-08-10 04:45;5.99
2021-08-10 05:00;4.55
2021-08-10 05:15;4.18
2021-08-10 05:30;5.4
2021-08-10 05:45;5.35
2021-08-10 06:00;5.71
2021-08-10 06:15;5.29
2021-08-10 06:30;5.77
2021-08-10 06:45;4.98
2021-08-10 07:00;4.54
2021-08-10 07:15;5.13
2021-08-10 07:30;4.79
2021-08-10 07:45;4.16
2021-08-10 08:00;5.79
2021-08-10 08:15;4.21
2021-08-10 08:30;4.96
2021-08-10 08:45;4.49
2021-08-10 09:00;4.35
2021-08-10 09:15;4.7
2021-08-10 09:30;5.73
2021-08-10 09:45;5.34
2021-08-10 10:00;5.82
2021-08-10 10:15;4.1
2021-08-10 10:30;4.12
2021-08-10 10:45;4.88
2021-08-10 11:00;4.27
2021-08-10 11:15;4.9
2021-08-10 11:30;5.81
2021-08-10 11:45;4.12
2021-08-10 12:00;4.84
2021-08-10 12:15;5.8
2021-08-10 12:30;4.08
2021-08-10 12:45;4.22
2021-08-10 13:00;5.58
2021-08-10 13:15;4.88
2021-08-10 13:30;4.13
2021-08-10 13:45;5.86
2021-08-10 14:00;4.64
2021-08-10 14:15;5.52
2021-08-10 14:30;5.51
2021-08-10 14:45;4.93
2021-08-10 15:00;4.54
2021-08-10 15:15;5.98
2021-08-10 15:30;5.37
2021-08-10 15:45;4.92
2021-08-10 16:00;4.26
2021-08-10 16:15;5.93
2021-08-10 16:30;5.86
2021-08-10 16:45;4.72
2021-08-10 17:00;5.19
2021-08-10 17:15;4.65
2021-08-10 17:30;5.66
2021-08-10 17:45;5.34
2021-08-10 18:00;4.36
2021-08-10 18:15;5.74
2021-08-10 18:30;4.23
2021-08-10 18:45;4.65
2021-08-10 19:00;5.17
2021-08-10 19:15;5.59
2021-08-10 19:30;4.56
2021-08-10 19:45;5.93
2021-08-10 20:00;4.34
2021-08-10 20:15;5.5
2021-08-10 20:30;4.95
2021-08-10 20:45;5.81
2021-08-10 21:00;5.27
2021-08-10 21:15;4.34
2021-08-10 21:30;4.03
2021-08-10 21:45;4.31
2021-08-10 22:00;5.0
2021-08-10 22:15;4.34
2021-08-10 22:30;5.12
2021-08-10 22:45;5.46
2021-08-10 23:00;5.58
2021-08-10 23:15;4.77
2021-08-10 23:30;4.69
2021-08-10 23:45;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
